Time,Sensor,x,y,z
5.958,LAnk,0.091751345,2.022298752,0.128099174
5.966,RHip,0.238384189,25.76494024,0.300907912
5.966,RKne,2.86849711,14.77133106,0.166666667
5.966,RAnk,0.335396607,2.1,0.138263666
5.966,LHip,2.276170351,24.71612903,0.210334029
5.966,LKne,1.01519337,14.88045113,0.106639839
5.966,LAnk,0.094441124,2.01980198,0.153351699
5.976,RHip,0.238384189,25.76494024,0.300907912
5.976,RKne,2.778179191,14.73549488,0.238845144
5.976,RAnk,0.343420449,2.1,0.188906752
5.976,LHip,2.276170351,24.71612903,0.210334029
5.976,LKne,1.01519337,14.88045113,0.106639839
5.976,LAnk,0.094441124,2.01980198,0.153351699
5.985,RHip,0.461511789,24.87250996,0.279507134
5.985,RKne,2.778179191,14.73549488,0.238845144
5.985,RAnk,0.343420449,2.1,0.188906752
5.985,LHip,2.061605982,23.46709677,0.232254697
5.985,LKne,1.01519337,14.88045113,0.106639839
5.985,LAnk,0.094441124,2.01980198,0.153351699
5.993,RHip,0.461511789,24.87250996,0.279507134
5.993,RKne,2.778179191,14.73549488,0.238845144
5.993,RAnk,0.343420449,2.1,0.188906752
5.993,LHip,2.061605982,23.46709677,0.232254697
5.993,LKne,1.160220994,14.79097744,0.105633803
5.993,LAnk,0.093395099,2.020232458,0.144628099
6.002,RHip,0.461511789,24.87250996,0.279507134
6.002,RKne,2.308526012,14.76109215,0.162073491
6.002,RAnk,0.338147639,2.1,0.172025723
6.002,LHip,2.061605982,23.46709677,0.232254697
6.002,LKne,1.160220994,14.79097744,0.105633803
6.002,LAnk,0.093395099,2.020232458,0.144628099
6.01,RHip,0.345180305,25.20717131,0.332684825
6.01,RKne,2.308526012,14.76109215,0.162073491
6.01,RAnk,0.338147639,2.1,0.172025723
6.01,LHip,2.294050715,23.68387097,0.227035491
6.01,LKne,1.160220994,14.79097744,0.105633803
6.01,LAnk,0.093395099,2.020232458,0.144628099
6.02,RHip,0.345180305,25.20717131,0.332684825
6.02,RKne,2.308526012,14.76109215,0.162073491
6.02,RAnk,0.338147639,2.1,0.172025723
6.02,LHip,2.294050715,23.68387097,0.227035491
6.02,LKne,1.151341752,14.88120301,0.102615694
6.02,LAnk,0.093245666,2.020705984,0.13728191
6.028,RHip,0.345180305,25.20717131,0.332684825
6.028,RKne,2.543352601,14.74872014,0.13976378
6.028,RAnk,0.344108207,2.1,0.172829582
6.028,LHip,2.294050715,23.68387097,0.227035491
6.028,LKne,1.151341752,14.88120301,0.102615694
6.028,LAnk,0.093245666,2.020705984,0.13728191
6.037,RHip,0.446255201,24.47410359,0.280155642
6.037,RKne,2.543352601,14.74872014,0.13976378
6.037,RAnk,0.344108207,2.1,0.172829582
6.037,LHip,2.140279584,23.07483871,0.183716075
6.037,LKne,1.151341752,14.88120301,0.102615694
6.037,LAnk,0.093245666,2.020705984,0.13728191
6.046,RHip,0.446255201,24.47410359,0.280155642
6.046,RKne,2.543352601,14.74872014,0.13976378
6.046,RAnk,0.344108207,2.1,0.172829582
6.046,LHip,2.140279584,23.07483871,0.183716075
6.046,LKne,1.509471192,14.82932331,0.085513078
6.046,LAnk,0.090257023,2.020749031,0.144628099
6.054,RHip,0.446255201,24.47410359,0.280155642
6.054,RKne,2.760115607,14.73250853,0.124015748
6.054,RAnk,0.341127923,2.1,0.168006431
6.054,LHip,2.140279584,23.07483871,0.183716075
6.054,LKne,1.509471192,14.82932331,0.085513078
6.054,LAnk,0.090257023,2.020749031,0.144628099
6.064,RHip,0.553051318,24.31474104,0.244487678
6.064,RKne,2.760115607,14.73250853,0.124015748
6.064,RAnk,0.341127923,2.1,0.168006431
6.064,LHip,2.220741222,23.46709677,0.223382046
6.064,LKne,1.509471192,14.82932331,0.085513078
6.064,LAnk,0.090257023,2.020749031,0.144628099
6.072,RHip,0.553051318,24.31474104,0.244487678
6.072,RKne,2.760115607,14.73250853,0.124015748
6.072,RAnk,0.341127923,2.1,0.168006431
6.072,LHip,2.220741222,23.46709677,0.223382046
6.072,LKne,1.177979479,14.8481203,0.075955734
6.072,LAnk,0.093544531,2.021093414,0.130853994
6.081,RHip,0.553051318,24.31474104,0.244487678
6.081,RKne,2.48916185,14.76365188,0.119422572
6.081,RAnk,0.338835397,2.1,0.165594855
6.081,LHip,2.220741222,23.46709677,0.223382046
6.081,LKne,1.177979479,14.8481203,0.075955734
6.081,LAnk,0.093544531,2.021093414,0.130853994
6.09,RHip,0.554958391,25.11155378,0.295719844
6.09,RKne,2.48916185,14.76365188,0.119422572
6.09,RAnk,0.338835397,2.1,0.165594855
6.09,LHip,2.054453836,23.56,0.243736952
6.09,LKne,1.177979479,14.8481203,0.075955734
6.09,LAnk,0.093544531,2.021093414,0.130853994
6.098,RHip,0.554958391,25.11155378,0.295719844
6.098,RKne,2.48916185,14.76365188,0.119422572
6.098,RAnk,0.338835397,2.1,0.165594855
6.098,LHip,2.054453836,23.56,0.243736952
6.098,LKne,1.287490134,14.84285714,0.093561368
6.098,LAnk,0.092199641,2.02057684,0.141873278
6.108,RHip,0.554958391,25.11155378,0.295719844
6.108,RKne,2.438583815,14.75042662,0.107611549
6.108,RAnk,0.340669418,2.1,0.153536977
6.108,LHip,2.054453836,23.56,0.243736952
6.108,LKne,1.287490134,14.84285714,0.093561368
6.108,LAnk,0.092199641,2.02057684,0.141873278
6.116,RHip,0.686546463,24.87250996,0.261348898
6.116,RKne,2.438583815,14.75042662,0.107611549
6.116,RAnk,0.340669418,2.1,0.153536977
6.116,LHip,1.999024707,23.34322581,0.212421712
6.116,LKne,1.287490134,14.84285714,0.093561368
6.116,LAnk,0.092199641,2.02057684,0.141873278
6.125,RHip,0.686546463,24.87250996,0.261348898
6.125,RKne,2.438583815,14.75042662,0.107611549
6.125,RAnk,0.340669418,2.1,0.153536977
